x,Sin,Cos,Bump
0,0,1,0.5
0.0025062656641604,0.0157466807718577,0.999504084089338,0.500061993332006
0.0050125313283208,0.0314894567868791,0.998016828222535,0.500247957955331
0.0075187969924812,0.0472244242565033,0.995539707507284,0.500557847755708
0.0100250626566416,0.0629476813284807,0.992075178830736,0.500991585888733
0.012531328320802,0.0786553290544277,0.987626678422679,0.501549064798916
0.0150375939849624,0.0943434723566623,0.982198618447375,0.502230146246358
0.0175438596491228,0.110008220994079,0.975796382627436,0.503034661341025
0.0200501253132832,0.125645690526826,0.968426320904074,0.503962410584632
0.0225563909774436,0.141252003279542,0.960095743139033,0.505013163920111
0.025062656641604,0.156823289302914,0.950812911864429,0.50618666078866
0.0275689223057644,0.172355687333326,0.940587034087714,0.507482610194356
0.0300751879699248,0.187845345750346,0.929428252159866,0.508900690776312
0.0325814536340852,0.203288423531827,0.917347633715889,0.510440550888366
0.0350877192982456,0.218681091206376,0.904357160697578,0.512101808686282
0.037593984962406,0.234019531802962,0.890469717469445,0.513884052222435
0.0401002506265664,0.249299941797425,0.875699078039601,0.515786839547963
0.0426065162907268,0.264518532055645,0.860059892398254,0.517809698822361
0.0451127819548872,0.279671528773146,0.843567671987383,0.519952128430484
0.0476190476190476,0.294755174410904,0.826238774315995,0.52221359710693
0.050125313283208,0.309765728627111,0.80809038673623,0.524593544067785
0.0526315789473684,0.324699469204683,0.789140509396394,0.527091379149683
0.0551378446115288,0.339552692974269,0.769407937387843,0.529706482956143
0.0576441102756892,0.354321716732539,0.748912242103413,0.532438207011173
0.0601503759398496,0.369002878155519,0.727673751825886,0.535285873920067
0.06265664160401,0.383592536706753,0.705713531565757,0.538248777537385
0.0651629072681704,0.398087074540054,0.683053362168282,0.541326183142055
0.0676691729323308,0.412482897396639,0.659715718710547,0.54451732761957
0.0701754385964912,0.426776435496404,0.635723748209968,0.547821419651211
0.0726817042606516,0.440964144423136,0.611101246666344,0.551237639910283
0.075187969924812,0.455042506003437,0.585872635460225,0.554765141265278
0.0776942355889724,0.469008029179131,0.560062937131015,0.558403048989945
0.0802005012531328,0.482857250872961,0.533697750558814,0.5621504609802
0.0827067669172932,0.496586736847331,0.50680322557464,0.566006447977818
0.0852130325814536,0.510193082555912,0.479406037024193,0.569970053800873
0.087719298245614,0.523672913987878,0.45153335831089,0.574040295580836
0.0902255639097744,0.537022888504566,0.423212834444425,0.578216164006309
0.0927318295739348,0.550239695668367,0.394472554621566,0.582496623573299
0.0952380952380952,0.563320058063622,0.365341024366395,0.586880612842003
0.0977443609022556,0.576260732109337,0.335847137257623,0.591367044700011
0.100250626566416,0.589058508863501,0.306020146271018,0.595954806631885
0.102756892230576,0.601710214818822,0.275889634765381,0.600642760995031
0.105263157894737,0.614212712689668,0.245485487140797,0.605429745301803
0.107769423558897,0.626562902190034,0.214837859198407,0.610314572507772
0.110275689223058,0.638757720802328,0.183977148230826,0.615296031306078
0.112781954887218,0.650794144536794,0.152933962873247,0.620372886427806
0.115288220551378,0.66266918868138,0.121739092744728,0.625543878948293
0.117794486215539,0.674379908541871,0.0904234779101138,0.630807726599317
0.120300751879699,0.685923400172088,0.0590181781927259,0.636163124087057
0.12280701754386,0.697296801093995,0.0275543423681576,0.641608743415774
0.12531328320802,0.708497291007515,-0.00393682272997443,0.647143234217122
0.12781954887218,0.719522092489888,-0.0354240831620482,0.652765224084996
0.130325814536341,0.7303684716844,-0.0668762088612131,0.658473318915859
0.132832080200501,0.741033738978304,-0.0982620046083273,0.664266103254439
0.135338345864662,0.751515249669776,-0.129550340972457,0.670142140644726
0.137844611528822,0.761810404623727,-0.160710185185934,0.676099973986172
0.140350877192982,0.771916650916321,-0.191710631923733,0.682138125895016
0.142857142857143,0.78183148246803,-0.222520933956316,0.688255099070633
0.145363408521303,0.791552440665077,-0.253110532645679,0.694449376666828
0.147869674185464,0.801077114969108,-0.283449088254464,0.700719422667971
0.150375939849624,0.810403143514936,-0.31350651003778,0.707063682269888
0.152882205513784,0.819528213696226,-0.34325298608825,0.713480582265411
0.155388471177945,0.828450062738957,-0.372659012904365,0.719968531434493
0.157894736842105,0.837166478262529,-0.401695424652966,0.726525920938786
0.160401002506266,0.845675298828376,-0.430333422096929,0.733151124720593
0.162907268170426,0.853974414475945,-0.458544601159065,0.739842499906082
0.165413533834586,0.86206176724591,-0.486300981094276,0.74659838721268
0.167919799498747,0.869935351690488,-0.513575032241708,0.753417111360527
0.170426065162907,0.877593215370743,-0.540339703329515,0.760296981487904
0.172932330827068,0.885033459340731,-0.566568448305246,0.767236291570518
0.175438596491228,0.892254238618394,-0.592235252664979,0.774233320844555
0.177944862155388,0.899253762643064,-0.61731465925541,0.781286334233379
0.180451127819549,0.906030295719473,-0.641781793523033,0.788393582777787
0.182957393483709,0.912582157448163,-0.665612388185484,0.795553304069706
0.18546365914787,0.918907723142175,-0.688782807300674,0.802763722689217
0.18796992481203,0.925005424229933,-0.711270069709594,0.81002305064482
0.19047619047619,0.930873748644204,-0.733051871829822,0.817329487816802
0.192982456140351,0.936511241197055,-0.754106609776897,0.824681222403623
